walker,39.25651309978085, -76.71694254732775
walker,39.258419658880285, -76.71460366110638
walker,39.25885579255566, -76.71453392367425
walker,39.258805948844376, -76.71414768558866
walker,39.25969482305148, -76.71339666707752
west hill,39.25863149558121, -76.71285486083003
west hill,39.25873118321643, -76.71189999445171
west hill,39.25849027118731, -76.71101486547938
west hill,39.2569492453389, -76.71267783502914
west hill,39.25755984453122, -76.71213602882571
west hill,39.257402003072805, -76.71181952817221
west hill,39.25746846267757, -76.71110069617954
west hill,39.256791402503254, -76.7105535255405
main campus,39.256184950402236, -76.71171760421102
main campus,39.2550177230275, -76.71199655395918
main campus,39.253925247094465, -76.71276903013042
main campus,39.253925247094465, -76.71201801163062
main campus,39.253352001944464, -76.71171223981231
main campus,39.25530018551821, -76.71466803411072
main campus,39.25472695162782, -76.71436226229295
main campus,39.25473110551346, -76.71523666240343
main campus,39.25500110755143, -76.71616470669248
main campus,39.253090301510916, -76.7147163138251
main campus,39.25233427258167, -76.71331620076475
main campus,39.25209749261441, -76.71265101295064
main campus,39.25156992734081, -76.71109533174673
main campus,39.25233427257345, -76.70924997193922
main campus,39.25361370137087, -76.71066081383528
main campus,39.2543826552705, -76.70848612763442
main campus,39.2549018916425, -76.70868997554238
main campus,39.255275739430665, -76.7089421031816
main campus,39.254930968764185, -76.7098862407242
main campus,39.255479277943905, -76.7103475806598
main campus,39.25566204671761, -76.70975749469567
dorms,39.258676746051776, -76.70826871475656
dorms,39.25863936317615, -76.70775373064241
dorms,39.25756355854772, -76.70792002759593
dorms,39.25709003311415, -76.70829553683694
dorms,39.256662195996554, -76.70759816251571
dorms,39.25677434772647, -76.70684177959804
